title, author, genre, # pages, rating, # ratings, progress
Last and First Men/Star Maker, Olaf Stapledon, Science Fiction,438,3.96,418,
The Devil in the White City: Murder Magic and Madness at the Fair that Changed America, Erik Larson, Non Fiction,447,3.97,283653,
Parallel Worlds: A Journey Through Creation Higher Dimensions and the Future of the Cosmos, Michio Kaku, Science,448,4.16,10217,
The Rational Optimist: How Prosperity Evolves (Mokslas visiems), Matt Ridley, Non Fiction,448,3.96,3798,
The Demon-Haunted World: Science as a Candle in the Dark, Carl Sagan, Science,457,4.27,34863,
The Autobiography of Malcolm X, Malcolm X, Non Fiction,466,4.27,90423,
Tales of the Unexpected (Roald Dahl's Tales of the Unexpected #1), Roald Dahl, Short Stories,471,4.16,6058,
The Death and Life of Great American Cities, Jane Jacobs, Non Fiction,472,4.31,6616,
Unbroken: A World War II Story of Survival Resilience and Redemption, Laura Hillenbrand, Book Club,473,4.45,352467,
Bleeding Edge, Thomas Pynchon, Fiction,477,3.56,6527,
Watership Down (Watership Down #1), Richard Adams, Classics,481,4.03,255729,
Hyperion (Hyperion Cantos #1), Dan Simmons, Science Fiction,483,4.18,97252,
The Corpse Reader, Antonio Garrido, Historical Fiction,494,3.79,1683,
Business @ the Speed of Thought: Succeeding in the Digital Economy, Bill Gates, Business,496,3.72,2230,
Confront and Conceal: Obama's Secret Wars and Surprising Use of American Power, David E. Sanger, Non Fiction,496,3.96,713,
My Years with General Motors, Alfred P. Sloan Jr., Business,496,3.85,304,
The Alienist (Dr. Laszlo Kreizler #1), Caleb Carr, Mystery,498,4.04,84839,
Thinking Fast and Slow, Daniel Kahneman, Psychology,499,4.02,88342,
The Circle, Dave Eggers, Science Fiction,508,3.42,65872,
Cloud Atlas, David Mitchell, Science Fiction,509,4.01,140187,
The Gulag Archipelago 1918-1956 (The Gulag Archipelago 1918-1956 #1-7), Aleksandr Solzhenitsyn, History,512,4.13,10590,
We Are Anonymous: Inside the Hacker World of LulzSec Anonymous and the Global Cyber Insurgency, Parmy Olson, Non Fiction,512,3.94,1892,
Stranger in a Strange Land, Robert A. Heinlein, Science Fiction,528,3.88,193778,
The Innovators: How a Group of Hackers Geniuses and Geeks Created the Digital Revolution, Walter Isaacson, Non Fiction,528,3.96,9809,
Different Seasons, Stephen King, Horror,560,4.31,113784,
The Odyssey, Homer, Classics,560,3.7,618091,
The Great Unraveling: Losing Our Way in the New Century, Paul Krugman, Economics,560,3.92,1280,
Red Mars (Mars Trilogy #1), Kim Stanley Robinson, Science Fiction,572,3.82,37857,
Cancer Ward, Aleksandr Solzhenitsyn, Fiction,576,4.16,8150,
Spycraft: The Secret History of the CIA's Spytechs from Communism to al-Qaeda, Robert Wallace, Non Fiction,576,3.8,685,
The Scar (New Crobuzon #2), China Mi����ville, Fantasy,578,4.14,19222,
Book of Numbers, Joshua Cohen, Fiction,580,2.89,312,
Contact, Carl Sagan, Science Fiction,580,4.06,76770,
Everything's Eventual: 14 Dark Tales, Stephen King, Horror,583,3.9,54932,
The Mote in God's Eye (Moties #1), Larry Niven, Science Fiction,596,4.05,44341,
Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis ̢���� and Themselves, Andrew Ross Sorkin, Non Fiction,600,4.04,20689,
Collapse: How Societies Choose to Fail or Succeed, Jared Diamond, Non Fiction,608,3.9,41686,
The Darkness That Comes Before (The Prince of Nothing #1), R. Scott Bakker, Fiction,608,3.75,11663,
A Fire Upon the Deep (Zones of Thought #1), Vernor Vinge, Science Fiction,613,4.13,31419,
Perdido Street Station (New Crobuzon #1), China Mi����ville, Fantasy,623,3.95,37756,
Leaves of Grass, Walt Whitman, Poetry,624,4.13,57184,
The Once and Future King (The Once and Future King #1-4), T.H. White, Classics,639,4.07,73588,
The Singularity is Near: When Humans Transcend Biology, Ray Kurzweil, Science,652,3.91,5708,
Moby-Dick; or The Whale, Herman Melville, Fiction,663,3.43,343395,
Imhotep (Imhotep #1), Jerry Dubs, Historical Fiction,693,3.8,755,
The Origin of Species, Charles Darwin, Science,703,3.95,55948,
The Fountainhead, Ayn Rand, Fiction,720,3.83,221896,
Have a Nice Day!: A Tale of Blood and Sweatsocks, Mick Foley, Non Fiction,768,4.28,5032,
Body of Secrets: Anatomy of the Ultra-Secret National Security Agency from the Cold War Through the Dawn of a New Century, James Bamford, History,784,3.88,1158,
The Brothers Karamazov, Fyodor Dostoyevsky, Classics,796,4.28,142326,
The Eye of the World (The Wheel of Time #1), Robert Jordan, Fantasy,800,4.15,204446,
Dhalgren, Samuel R. Delany, Science Fiction,801,3.82,5363,
The Illuminatus! Trilogy: The Eye in the Pyramid/The Golden Apple/Leviathan (Illuminatus! #1-3), Robert Shea, Fiction,805,3.99,11753,
Ulysses, James Joyce, Classics,810,3.73,70537,
The Dragonriders of Pern (Dragonriders of Pern #1-3), Anne McCaffrey, Fantasy,832,4.19,18964,
The Best of 2600: A Hacker Odyssey, Emmanuel Goldstein, Non Fiction,871,4.15,259,
The Mists of Avalon (Avalon #1), Marion Zimmer Bradley, Fantasy,876,4.1,142043,
A History of Western Philosophy, Bertrand Russell, History,895,4.04,17976,
Quicksilver (The Baroque Cycle #1), Neal Stephenson, Fiction,927,3.91,26322,
Swan Song, Robert McCammon, Horror,956,4.28,32994,
Anna Karenina, Leo Tolstoy, Classics,964,4,367483,
Don Quixote, Miguel de Cervantes Saavedra, Classics,982,3.83,128440,
Fall of Giants (The Century Trilogy #1), Ken Follett, Historical Fiction,985,4.22,140383,
Jonathan Strange & Mr Norrell, Susanna Clarke, Fantasy,1006,3.77,119115,
The Road to Reality: A Complete Guide to the Laws of the Universe, Roger Penrose, Science,1099,4.04,4037,
The Stand, Stephen King, Horror,1153,4.32,377257,
Atlas Shrugged, Ayn Rand, Fiction,1168,3.67,249040,
The Wealth of Nations, Adam Smith, Economics,1264,3.84,16268,
The Count of Monte Cristo, Alexandre Dumas, Classics,1276,4.18,502656,
The Power Broker: Robert Moses and the Fall of New York, Robert A. Caro, History,1344,4.51,5443,
War and Peace, Leo Tolstoy, Fiction,1392,4.09,142656,
A Suitable Boy (A Suitable Boy #1), Vikram Seth, Fiction,1474,4.08,30128,
